:0;:1;:2;u_x;u_y;u_z
9.6;0.7;0;0.00E+00;0.00E+00;1.33E-09
9.65;0.7;0;0.00E+00;0.00E+00;7.72E-09
9.7;0.7;0;0.00E+00;0.00E+00;9.71E-10
9.75;0.7;0;0.00E+00;0.00E+00;5.59E-09
9.8;0.7;0;0.00E+00;0.00E+00;0.00E+00
9.85;0.7;0;0.00E+00;0.00E+00;3.23E-09
9.9;0.7;0;0.00E+00;0.00E+00;2.71E-11
9.95;0.7;0;0.00E+00;0.00E+00;9.86E-10
10;0.7;0;0.00E+00;0.00E+00;0.00E+00
9.25;0;0;0.00E+00;0.00E+00;1.29E-08
9.25;0.05;0;0.00E+00;0.00E+00;1.66E-09
9.25;0.1;0;0.00E+00;0.00E+00;1.28E-08
9.25;0.15;0;0.00E+00;0.00E+00;1.64E-09
9.25;0.2;0;0.00E+00;0.00E+00;1.28E-08
9.25;0.25;0;0.00E+00;0.00E+00;1.50E-09
9.25;0.3;0;0.00E+00;0.00E+00;1.27E-08
9.25;0.35;0;0.00E+00;0.00E+00;9.67E-10
9.25;0.4;0;0.00E+00;0.00E+00;1.25E-08
9.25;0.45;0;0.00E+00;0.00E+00;8.22E-10
9.25;0.5;0;0.00E+00;0.00E+00;1.26E-08
9.25;0.55;0;0.00E+00;0.00E+00;1.28E-09
9.25;0.6;0;0.00E+00;0.00E+00;1.26E-08
9.25;0.65;0;0.00E+00;0.00E+00;1.73E-09
9.25;0.7;0;0.00E+00;0.00E+00;1.27E-08
9.25;0.75;0;0.00E+00;0.00E+00;2.06E-09
9.3;0.75;0;0.00E+00;0.00E+00;1.23E-08
9.35;0.75;0;0.00E+00;0.00E+00;1.66E-09
9.4;0.75;0;0.00E+00;0.00E+00;1.14E-08
9.45;0.75;0;0.00E+00;0.00E+00;1.34E-09
9.5;0.75;0;0.00E+00;0.00E+00;1.02E-08
9.55;0.75;0;0.00E+00;0.00E+00;1.38E-09
9.6;0.75;0;0.00E+00;0.00E+00;8.65E-09
9.65;0.75;0;0.00E+00;0.00E+00;1.30E-09
9.7;0.75;0;0.00E+00;0.00E+00;6.72E-09
9.75;0.75;0;0.00E+00;0.00E+00;7.31E-10
9.8;0.75;0;0.00E+00;0.00E+00;4.43E-09
9.85;0.75;0;0.00E+00;0.00E+00;1.73E-10
9.9;0.75;0;0.00E+00;0.00E+00;2.07E-09
9.95;0.75;0;0.00E+00;0.00E+00;-1.90E-11
10;0.75;0;0.00E+00;0.00E+00;0.00E+00
9.2;0;0;0.00E+00;0.00E+00;1.83E-09
9.2;0.05;0;0.00E+00;0.00E+00;1.33E-08
9.2;0.1;0;0.00E+00;0.00E+00;1.66E-09
9.2;0.15;0;0.00E+00;0.00E+00;1.31E-08
9.2;0.2;0;0.00E+00;0.00E+00;1.51E-09
9.2;0.25;0;0.00E+00;0.00E+00;1.30E-08
9.2;0.3;0;0.00E+00;0.00E+00;1.25E-09
9.2;0.35;0;0.00E+00;0.00E+00;1.29E-08
9.2;0.4;0;0.00E+00;0.00E+00;0.00E+00
9.2;0.45;0;0.00E+00;0.00E+00;1.28E-08
9.2;0.5;0;0.00E+00;0.00E+00;1.28E-09
9.2;0.55;0;0.00E+00;0.00E+00;1.29E-08
9.2;0.6;0;0.00E+00;0.00E+00;1.74E-09
9.2;0.65;0;0.00E+00;0.00E+00;1.30E-08
9.2;0.7;0;0.00E+00;0.00E+00;2.06E-09
9.2;0.75;0;0.00E+00;0.00E+00;1.30E-08
9.2;0.8;0;0.00E+00;0.00E+00;2.21E-09
9.25;0.8;0;0.00E+00;0.00E+00;1.27E-08
9.3;0.8;0;0.00E+00;0.00E+00;1.97E-09
9.35;0.8;0;0.00E+00;0.00E+00;1.19E-08
9.4;0.8;0;0.00E+00;0.00E+00;1.22E-09
9.45;0.8;0;0.00E+00;0.00E+00;1.07E-08
9.5;0.8;0;0.00E+00;0.00E+00;1.07E-09
