Points:0;Points:1;Points:2;u_x;u_y;u_z
0.05;0.6;0;0.00E+00;0.00E+00;1.16E-08
0;0.6;0;0.00E+00;0.00E+00;0.00E+00
0.65;0;0;0.00E+00;0.00E+00;2.00E-07
0.65;0.05;0;0.00E+00;0.00E+00;-9.40E-09
0.65;0.1;0;0.00E+00;0.00E+00;1.96E-07
0.65;0.15;0;0.00E+00;0.00E+00;-1.33E-08
0.65;0.2;0;0.00E+00;0.00E+00;1.94E-07
0.65;0.25;0;0.00E+00;0.00E+00;-1.47E-08
0.65;0.3;0;0.00E+00;0.00E+00;1.92E-07
0.65;0.35;0;0.00E+00;0.00E+00;-1.34E-08
0.65;0.4;0;0.00E+00;0.00E+00;1.91E-07
0.65;0.45;0;0.00E+00;0.00E+00;-1.24E-08
0.65;0.5;0;0.00E+00;0.00E+00;1.89E-07
0.65;0.55;0;0.00E+00;0.00E+00;0.00E+00
0.65;0.6;0;0.00E+00;0.00E+00;1.85E-07
0.65;0.65;0;0.00E+00;0.00E+00;-3.48E-08
0.6;0.65;0;0.00E+00;0.00E+00;1.71E-07
0.55;0.65;0;0.00E+00;0.00E+00;-1.51E-08
0.5;0.65;0;0.00E+00;0.00E+00;1.46E-07
0.45;0.65;0;0.00E+00;0.00E+00;-7.06E-09
0.4;0.65;0;0.00E+00;0.00E+00;1.17E-07
0.35;0.65;0;0.00E+00;0.00E+00;-2.78E-09
0.3;0.65;0;0.00E+00;0.00E+00;8.82E-08
0.25;0.65;0;0.00E+00;0.00E+00;-1.10E-09
0.2;0.65;0;0.00E+00;0.00E+00;5.62E-08
0.15;0.65;0;0.00E+00;0.00E+00;-2.71E-09
0.1;0.65;0;0.00E+00;0.00E+00;2.52E-08
0.05;0.65;0;0.00E+00;0.00E+00;-2.83E-09
0;0.65;0;0.00E+00;0.00E+00;0.00E+00
0.7;0;0;0.00E+00;0.00E+00;-1.23E-08
0.7;0.05;0;0.00E+00;0.00E+00;2.13E-07
0.7;0.1;0;0.00E+00;0.00E+00;-1.71E-08
0.7;0.15;0;0.00E+00;0.00E+00;2.09E-07
0.7;0.2;0;0.00E+00;0.00E+00;-1.99E-08
0.7;0.25;0;0.00E+00;0.00E+00;2.06E-07
